No.,Question,Option A,Option B,Option C,Option D,Answer,Explanation
1,The basic functions of financial Accounting is to _______.,(a) to interpret the financial data,(b) Record all business transactions,(c) Assist the management in performing the functions effectively,(d) record only cash transactions,b,The fundamental purpose of financial accounting is to accurately record all business transactions. This forms the basis for further financial analysis and reporting.
2,A person who brings capital in the business is called,(a ) A debtor,(b) A creditor,(c) Proprietor,(d) agents,c,"In the context of a business, the individual who invests their own capital is referred to as the proprietor or owner."
3,Investment is taken as,(a) Current assets,(b) Fixed assets,(c) Tangible assets,(d) Intangible assets.,a,Investments are classified as current assets when they are expected to be converted into cash or consumed within the normal operating cycle of the business.
4,A person who owes money to the firm is known as,(a) A debtor,(b) A creditor,(c) proprietor,(d) Investor,a,"A debtor is someone who owes money to the firm, typically in the form of accounts receivable when goods or services have been provided on credit."
5,Entries in journal are made __________,(a) Date wise,(b) Month wise,(c) Annually,(d) year wise,a,Entries in a journal are made in chronological order based on the date of the transactions. This ensures a systematic and organized record.
6,What is a journal?,(a) Original entry,(b) Double entry,(c) Duplicate entry,(d) Contra entry,a,A journal is where original entries or transactions are first recorded. It's the primary book of entry in accounting where transactions are documented for future reference.
7,The balance of purchase Return Book is always,(a) Debit,(b) credit,(c) Debit or credit,(d) Neither debit nor credit.,b,"The purchase return book records goods returned to suppliers. Since it represents a reduction in liabilities (accounts payable), its balance is always a credit."
8,Accounting is a language of __________,(a)Book keeping,(b) Accounting,(c) purchases,(d) sales,a,"Accounting is often described as the language of business. It encompasses the systematic recording, analysis, and communication of financial information, which is essential for effective bookkeeping."
9,The person to whom the goods are sold on credit is known as __________,(a) Debtor,(b) creditor,(c) seller,(d) Intermediaries,a,A debtor is an individual or entity to whom goods have been sold on credit. This means that they owe the business money and have an accounts receivable balance.
10,Drawings account is a,(a) Personal,(b) Real,(c) nominal,(d) Purchase.,a,Drawings account is a personal account that represents the owner's withdrawals from the business for personal use. It affects the owner's equity and is considered a personal transaction within the business.
11,Accounting conceptions are established by,(a) Law,(b)Accounts manager,(c) debtor,(d) Creditor.,a,"Accounting concepts, principles, and standards are established by legal and regulatory authorities to ensure consistency, reliability, and transparency in financial reporting. They are not determined by individual roles within a company, such as the accounts manager, debtor, or creditor."
12,Journal proper records,(a) All transactions,(b) All cash transactions,(c) All credit transactions,(d) All transactions not recorded in any subsidiary books.,d,A journal proper is used for recording transactions that do not have a specific subsidiary book in which to be recorded. It serves as a general journal for miscellaneous transactions not covered in other specialized journals.
13,Entries in journal are made,(a) Date wise,(b) Month wise,(c) Annually,(d) None of these.,a,"Journal entries are recorded in chronological order, organized by the date of the transaction. This chronological arrangement helps maintain a systematic and accurate record."
14,Recording of fixed assets at cost ensures adherence of,(a) Conservation concept,(b) Going concern Concept,(c)Cost concept,(d) Business entity,c,"Recording fixed assets at cost adheres to the cost concept, which states that assets should initially be recorded at their historical cost. This concept ensures that the financial statements reflect the true cost incurred to acquire those assets."
