,prompt
0,Answer the following Multiple choice question :  Question : The basic functions of financial Accounting is to _______. Option A : (a) to interpret the financial data Option B : (b) Record all business transactions Option C : (c) Assist the management in performing the functions effectively Option D : (d) record only cash transactions Correct Ans :  b Explanation : The fundamental purpose of financial accounting is to accurately record all business transactions. This forms the basis for further financial analysis and reporting.
1,"Answer the following Multiple choice question :  Question : A person who brings capital in the business is called Option A : (a ) A debtor Option B : (b) A creditor Option C : (c) Proprietor Option D : (d) agents Correct Ans :  c Explanation : In the context of a business, the individual who invests their own capital is referred to as the proprietor or owner."
2,Answer the following Multiple choice question :  Question : Investment is taken as Option A : (a) Current assets Option B : (b) Fixed assets Option C : (c) Tangible assets Option D : (d) Intangible assets. Correct Ans :  a Explanation : Investments are classified as current assets when they are expected to be converted into cash or consumed within the normal operating cycle of the business.
3,"Answer the following Multiple choice question :  Question : A person who owes money to the firm is known as Option A : (a) A debtor Option B : (b) A creditor Option C : (c) proprietor Option D : (d) Investor Correct Ans :  a Explanation : A debtor is someone who owes money to the firm, typically in the form of accounts receivable when goods or services have been provided on credit."
4,Answer the following Multiple choice question :  Question : Entries in journal are made __________ Option A : (a) Date wise Option B : (b) Month wise Option C : (c) Annually Option D : (d) year wise Correct Ans :  a Explanation : Entries in a journal are made in chronological order based on the date of the transactions. This ensures a systematic and organized record.
5,Answer the following Multiple choice question :  Question : What is a journal? Option A : (a) Original entry Option B : (b) Double entry Option C : (c) Duplicate entry Option D : (d) Contra entry Correct Ans :  a Explanation : A journal is where original entries or transactions are first recorded. It's the primary book of entry in accounting where transactions are documented for future reference.
6,"Answer the following Multiple choice question :  Question : The balance of purchase Return Book is always Option A : (a) Debit Option B : (b) credit Option C : (c) Debit or credit Option D : (d) Neither debit nor credit. Correct Ans :  b Explanation : The purchase return book records goods returned to suppliers. Since it represents a reduction in liabilities (accounts payable), its balance is always a credit."
7,"Answer the following Multiple choice question :  Question : Accounting is a language of __________ Option A : (a)Book keeping Option B : (b) Accounting Option C : (c) purchases Option D : (d) sales Correct Ans :  a Explanation : Accounting is often described as the language of business. It encompasses the systematic recording, analysis, and communication of financial information, which is essential for effective bookkeeping."
8,Answer the following Multiple choice question :  Question : The person to whom the goods are sold on credit is known as __________ Option A : (a) Debtor Option B : (b) creditor Option C : (c) seller Option D : (d) Intermediaries Correct Ans :  a Explanation : A debtor is an individual or entity to whom goods have been sold on credit. This means that they owe the business money and have an accounts receivable balance.
9,Answer the following Multiple choice question :  Question : Drawings account is a Option A : (a) Personal Option B : (b) Real Option C : (c) nominal Option D : (d) Purchase. Correct Ans :  a Explanation : Drawings account is a personal account that represents the owner's withdrawals from the business for personal use. It affects the owner's equity and is considered a personal transaction within the business.
10,"Answer the following Multiple choice question :  Question : Accounting conceptions are established by Option A : (a) Law Option B : (b)Accounts manager Option C : (c) debtor Option D : (d) Creditor. Correct Ans :  a Explanation : Accounting concepts, principles, and standards are established by legal and regulatory authorities to ensure consistency, reliability, and transparency in financial reporting. They are not determined by individual roles within a company, such as the accounts manager, debtor, or creditor."
11,Answer the following Multiple choice question :  Question : Journal proper records Option A : (a) All transactions Option B : (b) All cash transactions Option C : (c) All credit transactions Option D : (d) All transactions not recorded in any subsidiary books. Correct Ans :  d Explanation : A journal proper is used for recording transactions that do not have a specific subsidiary book in which to be recorded. It serves as a general journal for miscellaneous transactions not covered in other specialized journals.
12,"Answer the following Multiple choice question :  Question : Entries in journal are made Option A : (a) Date wise Option B : (b) Month wise Option C : (c) Annually Option D : (d) None of these. Correct Ans :  a Explanation : Journal entries are recorded in chronological order, organized by the date of the transaction. This chronological arrangement helps maintain a systematic and accurate record."
13,"Answer the following Multiple choice question :  Question : Recording of fixed assets at cost ensures adherence of Option A : (a) Conservation concept Option B : (b) Going concern Concept Option C : (c)Cost concept Option D : (d) Business entity Correct Ans :  c Explanation : Recording fixed assets at cost adheres to the cost concept, which states that assets should initially be recorded at their historical cost. This concept ensures that the financial statements reflect the true cost incurred to acquire those assets."
14,"Answer the following Multiple choice question :  Question : Accounting principles are generally based on Option A : (a) Practicability Option B : (b) Subjectivity Option C : (c) Convenience in recording Option D : (d) Conservatism Correct Ans :  a Explanation : Accounting principles are generally based on practicability, which means they are designed to be practical and feasible in real-world applications. This ensures that financial reporting is reliable and can be effectively implemented."
15,Answer the following Multiple choice question :  Question : Accounting is a Language of Option A : (a) Business Option B : (b) Convenience Option C : (c) Profit Option D : (d) concern Correct Ans :  a Explanation : Accounting is often referred to as the language of business because it is the means by which financial information is communicated and understood within the context of business activities.
